发布时间,标题,url,发文机关,主题分类,主题词
2020-04-03,国务院办公厅关于为新冠肺炎疫情牺牲烈士和逝世同胞举行全国性哀悼活动的通知,http://www.gov.cn/zhengce/zhengceku/2020-04/03/content_5498474.htm,国务院办公厅,综合政务\其他,
2020-03-20,国务院办公厅关于应对新冠肺炎疫情影响强化稳就业举措的实施意见,http://www.gov.cn/zhengce/zhengceku/2020-03/20/content_5493574.htm,国务院办公厅,劳动、人事、监察\劳动就业,
2020-03-04,中央应对新型冠状病毒感染肺炎疫情工作领导小组关于全面落实疫情防控一线城乡社区工作者关心关爱措施的通知,http://www.gov.cn/zhengce/zhengceku/2020-03/04/content_5486761.htm,中央应对新型冠状病毒感染肺炎疫情工作领导小组,民政、扶贫、救灾\其他,
2020-03-07,中央应对新型冠状病毒感染肺炎疫情工作领导小组关于进一步做好疫情防控期间困难群众兜底保障工作的通知,http://www.gov.cn/zhengce/zhengceku/2020-03/07/content_5488352.htm,中央应对新型冠状病毒感染肺炎疫情工作领导小组,民政、扶贫、救灾\其他,
2020-03-12,国务院应对新型冠状病毒感染肺炎疫情联防联控机制关于聚焦一线贯彻落实保护关心爱护医务人员措施的通知,http://www.gov.cn/zhengce/zhengceku/2020-03/12/content_5490416.htm,国务院应对新型冠状病毒感染肺炎疫情联防联控机制,卫生、体育\卫生,
2020-04-03,商务部 中国银行关于应对新冠肺炎疫情完善金融服务支持步行街改造提升工作的通知,http://www.gov.cn/zhengce/zhengceku/2020-04/03/content_5498636.htm,商务部 中国银行,财政、金融、审计\其他,
2020-04-03,民政部办公厅关于调整优化有关监管措施支持全国性社会组织有效应对疫情平稳健康运行的通知,http://www.gov.cn/zhengce/zhengceku/2020-04/03/content_5498541.htm,民政部办公厅,民政、扶贫、救灾\社团管理,
2020-03-31,教育部关于应对新冠肺炎疫情 稳妥做好2020年全国普通高校招生工作的通知,http://www.gov.cn/zhengce/zhengceku/2020-03/31/content_5497514.htm,教育部,科技、教育\教育,
2020-03-27,关于疫情防控期间继续调减国际客运航班量的通知,http://www.gov.cn/zhengce/zhengceku/2020-03/27/content_5496232.htm,民航局,工业、交通\民航,
2020-03-25,关于专利、商标、集成电路布图设计受疫情影响相关期限事项的公告(第350号),http://www.gov.cn/zhengce/zhengceku/2020-03/25/content_5495260.htm,知识产权局,科技、教育\知识产权,
2020-04-02,严格执行“十不得” 确保非洲猪瘟疫情不反弹,http://www.gov.cn/zhengce/2020-04/02/content_5498144.htm,,,
2020-03-25,"疫情客货两重天,航空货运获政策支持",http://www.gov.cn/zhengce/2020-03/25/content_5495342.htm,,,
2020-03-12,"对冲疫情冲击,中国出台一揽子稳外贸外资措施",http://www.gov.cn/zhengce/2020-03/12/content_5490309.htm,,,
2020-03-19,解读《新冠肺炎疫情心理疏导工作方案》,http://www.gov.cn/zhengce/2020-03/19/content_5493050.htm,,,
2020-03-12,"对冲疫情影响,国务院再推六大举措!进一步缩减外商投资准入负面清单",http://www.gov.cn/zhengce/2020-03/12/content_5490310.htm,,,
2020-03-30,国务院办公厅关于应对新冠肺炎疫情影响强化稳就业举措的实施意见,http://www.gov.cn/gongbao/content/2020/content_5496765.htm,,,
2020-03-30,中央应对新型冠状病毒感染肺炎疫情工作领导小组关于进一步做好疫情防控期间困难群众 兜底保障工作的通知,http://www.gov.cn/gongbao/content/2020/content_5496767.htm,,,
2020-03-30,国务院应对新型冠状病毒感染肺炎疫情联防联控机制关于聚焦一线贯彻落实保护关心爱护 医务人员措施的通知,http://www.gov.cn/gongbao/content/2020/content_5496768.htm,,,
2020-03-30,国务院应对新型冠状病毒感染肺炎疫情联防联控机制关于印发《因新冠肺炎疫情影响造成 监护缺失儿童救助保护工作方案》的通知 因新冠肺炎疫情影响造成监护缺失儿童救助保护工作方案,http://www.gov.cn/gongbao/content/2020/content_5496769.htm,,,
2020-03-20,国务院应对新型冠状病毒感染肺炎疫情联防联控机制关于进一步做好民政服务机构 疫情防控工作的通知,http://www.gov.cn/gongbao/content/2020/content_5492491.htm,,,
